city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Bayog,Depore,members 13-16 years old,88,45.8,119,58,61,12.8,12.1,13.6
Bayog,Depore,members 6-16 years old,136,70.8,301,141,160,32.4,29.4,35.6
Bayog,Depore,members 10 years old and above,191,99.5,680,356,324,73.1,74.2,72.2
Bayog,Depore,members of the labor force,183,95.3,254,223,31,27.3,46.5,6.9
Dumalinao,Bag-ong Misamis,population,38,-,187,97,90,100,51.9,48.1
Dumalinao,Bag-ong Misamis,average household size,5,-,-,-,-,-,-,-
Dumalinao,Bag-ong Misamis,children 0-5 years old,17,44.7,25,15,10,13.4,15.5,11.1
Dumalinao,Bag-ong Misamis,children 6-12 years old,17,44.7,29,12,17,15.5,12.4,18.9
Dumalinao,Bag-ong Misamis,members 13-16 years old,15,39.5,20,14,6,10.7,14.4,6.7
Dumalinao,Bag-ong Misamis,members 6-16 years old,23,60.5,49,26,23,26.2,26.8,25.6
Dumalinao,Bag-ong Misamis,members 10 years old and above,38,100,146,76,70,78.1,78.4,77.8
Dumalinao,Bag-ong Misamis,members of the labor force,37,97.4,83,46,37,44.4,47.4,41.1
Dumalinao,Baga,population,171,-,736,383,353,100,52,48
Dumalinao,Baga,average household size,4,-,-,-,-,-,-,-
Dumalinao,Baga,children 0-5 years old,73,42.7,109,62,47,14.8,16.2,13.3
Dumalinao,Baga,children 6-12 years old,86,50.3,142,67,75,19.3,17.5,21.2
Dumalinao,Baga,members 13-16 years old,63,36.8,79,40,39,10.7,10.4,11
Dumalinao,Baga,members 6-16 years old,101,59.1,221,107,114,30,27.9,32.3
Dumalinao,Baga,members 10 years old and above,171,100,555,284,271,75.4,74.2,76.8
Dumalinao,Baga,members of the labor force,142,83,149,140,9,20.2,36.6,2.5
Dumalinao,Bag-ong Silao,population,155,-,697,355,342,100,50.9,49.1
Dumalinao,Bag-ong Silao,average household size,4,-,-,-,-,-,-,-
Dumalinao,Bag-ong Silao,children 0-5 years old,72,46.5,104,48,56,14.9,13.5,16.4
Dumalinao,Bag-ong Silao,children 6-12 years old,91,58.7,146,74,72,20.9,20.8,21.1
Dumalinao,Bag-ong Silao,members 13-16 years old,56,36.1,73,37,36,10.5,10.4,10.5
Dumalinao,Bag-ong Silao,members 6-16 years old,109,70.3,219,111,108,31.4,31.3,31.6
Dumalinao,Bag-ong Silao,members 10 years old and above,155,100,515,270,245,73.9,76.1,71.6
Dumalinao,Bag-ong Silao,members of the labor force,142,91.6,156,135,21,22.4,38,6.1
Dumalinao,Baloboan,population,125,-,571,301,269,100,52.7,47.1
Dumalinao,Baloboan,average household size,5,-,-,-,-,-,-,-
Dumalinao,Baloboan,children 0-5 years old,57,45.6,84,42,42,14.7,14,15.6
Dumalinao,Baloboan,children 6-12 years old,58,46.4,91,45,46,15.9,15,17.1
Dumalinao,Baloboan,members 13-16 years old,36,28.8,54,31,23,9.5,10.3,8.6
Dumalinao,Baloboan,members 6-16 years old,68,54.4,145,76,69,25.4,25.2,25.7
Dumalinao,Baloboan,members 10 years old and above,125,100,440,240,200,77.1,79.7,74.3
Dumalinao,Baloboan,members of the labor force,117,93.6,179,159,20,31.3,52.8,7.4
Dumalinao,Banta-ao,population,80,-,383,212,170,100,55.4,44.4
Dumalinao,Banta-ao,average household size,5,-,-,-,-,-,-,-
Dumalinao,Banta-ao,children 0-5 years old,39,48.8,60,33,27,15.7,15.6,15.9
Dumalinao,Banta-ao,children 6-12 years old,40,50,71,40,31,18.5,18.9,18.2
Dumalinao,Banta-ao,members 13-16 years old,28,35,37,30,7,9.7,14.2,4.1
